id,dcb,rcl,juros,amortizacao,primario,dbp,rec_cor,desp_cor,investimentos,desp_total,rec_previdenciarias,inativos,rec_tributaria,obrig_fin,disp_caixa_bruta
ce2008,3809611863,7886592912,212115579.25,435038174.41,1380243204.86,3703421376.21,11148682744.91,9202017900.820002,1078160856.8000002,10824764184.460003,726416407.89,954640281.47,5314953588.089999,444474559,2251383884
ce2009,3446816883,8400940154,191144566.79,582819555.87,1164640969.04,4202960407.78,11992539968.44,10492697571.29,1984618244.26,13158992107.25,838253825.08,1047564011.52,5799444303.05,687179275.98,2496415270
ce2010,4259958835,9664272967,189008956.54999998,301917478.7,877163031.61,4580566066.89,13905613551.24,12325234404.18,3254037983.4599996,15964233172.779999,976107938.86,857018402.11,6966702029.26,980578787.28,2146926202.73
ce2011,5304460683,10966435332,219495252.51,371586246.91,26437117.51,4949204831.88,15692331348.399998,13472581217.710001,2686801535.8499994,16630638030.48,995847966.04,951789219.74,7817749335.2,379035132.81,1063967807.19
ce2012,5745082357,12130620628,247099324.96,687040391.61,82786950.67,5805297536,16696244850.029999,13742252329.509998,2070703199.6799996,16638191564.829998,1099805982.02,1216439707.36,8891278093.27,1117174783.23,2699921322.74
ce2013,6980854716.14,13379882291,246480195.8,527673309.92,637825326.6,6501611414.25,18575040419.97,15304742294.1,2239533896.14,18395140660.6,1209819337.6,1411086226.7,10150885779.5,1196935722.94,3241149034.83
ce2014,8501127953,14418477503.79,297663290.94,595815980.54,455335069.85,7217787703.419999,20124026041.49,17277833219.52,3475765085.85,21783515154.38,1361596574.52,1559411926.19,11113045323.53,696126236.22,2549452952
ce2015,11113041943,15176440113,414556094.18,689352118.08,-992945340.14,7858795449.44,21109686262.67,18287950252.93,2411486940.1,21508134927.54,1395437047.54,1755843763.1,11730312190.1,909540461.49,2377935262.39
ce2016,10518535190.36,17831937421.85,446076327.02,846777051.9,890046570.67,8331330086.34,24311282064.89,20016052843.35,2172565859.15,23266915758.59,1573816246.83,1916783042,13311686074.34,855999894.48,3351505307.67
df2008,3230132728.04,9626476275.59,117511652.29,96583292.62,1003797077.34,5013382662.76,11142567693.679998,8814739599.72,1050977341.38,10088787667.939999,825541907.76,796096762.01,7099620771.18,115435030.84,1682396852.22
df2009,3371574770.69,10254998540.21,129417334.2,124561289.85,-415012273.909997,5613864208.84,11912482064.17,10076173427.82,1382848415.68,11704310845.36,880575073.72,1000452171.66,7392530032.69,298854009.23,1752056298.48
df2010,4043685744.54,11485148499.11,138980165.60000002,130237704.71,35619766.14,6445078860.12,13228624387.65,10981410590.41,1041462545.27,12272738583.27,1019334317.93,1169381082.62,8352921764.87,668375748.23,1928470516.04
df2011,4234211614.68,12859741832.57,146862631.5,143888074.83,11793291.9,7617608511.85,14681589667.550001,12496113915.81,974860654.47,13808066434.3,1121880667.47,1357943354.61,9366541153.94,849159164.55,2242497583.27
df2012,4430824187.59,14312436247,146471414.39,162269085.09,96396729.7,8096107209.29,16227310875.769999,13790555082.729998,1561942237.05,15817455963.769997,1216998032.64,1499696082.56,10287231703.98,1143472650.85,2357824146.63
df2013,4613207272.59,15811905452.74,160575546.07,165660008.72,-1189482200.06,9003612032.169998,17849330837.06,15510823289.39,2180610380.13,18133089572.58,1296969644.85,1383036939.7,11443797300.6,1641521990.97,1650448305.49
df2014,5075662907.07,17504269623.87,183052105.68,187545737.58,-514150533.049999,10172148503.44,19671103064.83,16897595539.45,1642940866.65,19008772982.66,1444225348.18,1482657149.04,12669362672.64,933023893.39,917773286.73
df2015,5930582624.7,18461481002.45,230084944.07,238821010.66,-2525225916.77,14001919771.26,26981588223.16,26708474315.3,674404345.47,27707119466.71,1561661922.4,4151390476.1499996,13156540223.53,1667699369.54,1919671239.4
df2016,7281735426.6,19881229932.9,197127950.63,224263743.93,-686184967.41,13347139147.300001,27771638526.69,25426328098.38,684712265.8,26417375678.43,1469352964.62,3856509307.65,14466785034,1395706715.8,1363210486.41
